NIN,FirstName,LastName,Sex,BirthDate,Wilaya,BloodGroup,Job,Generation,Parents
121937032592489530,Bouchra,HAMKACEM,F,1937-03-25,12,B-,Retraité,0,[]
331959051290897558,Samir,MESSAOUDI,M,1959-05-12,33,AB-,Mécanicien,0,[]
331961031645911530,Ouahiba,MESSAOUDI,F,1961-03-16,33,B-,Ouvrier du bâtiment,0,[]
101957110523536213,Said,MADJER,M,1957-11-05,10,B-,Commerçant,0,[]
101956091397120382,Wafia,MADJER,F,1956-09-13,10,O-,Comptable,0,[]
301946050243160855,Ahcen,DAHMANI,M,1946-05-02,30,AB-,Retraité,0,[]
301946100594717336,Ilham,DAHMANI,F,1946-10-05,30,B+,Retraité,0,[]
411956061302712401,Wahid,MERZOUK,M,1956-06-13,41,B-,Comptable,0,[]
411954071780897826,Rachelle,MERZOUK,F,1954-07-17,41,A+,Retraité,0,[]
461949112495577504,Reda,BELHADJ,M,1949-11-24,46,A-,Retraité,0,[]
461947031093706677,Kawthar,BELHADJ,F,1947-03-10,46,B+,Retraité,0,[]
341940070184514535,Nabil,BOURAS,M,1940-07-01,34,A-,Retraité,0,[]
341941010163008133,Asma,BOURAS,F,1941-01-01,34,B+,Retraité,0,[]
241930021932624677,Adnan,BOUZIANE,M,1930-02-19,24,A-,Retraité,0,[]
241928112427844395,Zoulikha,BOUZIANE,F,1928-11-24,24,O-,Retraité,0,[]
551946021580616239,Azzedine,ABOUNE,M,1946-02-15,55,B-,Retraité,0,[]
551947031016138074,Sarah,ABOUNE,F,1947-03-10,55,B-,Femme au foyer,0,[]
131956070600087143,Abdelkader,SMAILI,M,1956-07-06,13,O-,Artisan,0,[]
131957070329196815,Aziza,SMAILI,F,1957-07-03,13,O+,Couturière,0,[]
031935052114277632,Rabah,SAADI,M,1935-05-21,3,A-,Retraité,0,[]
031934092861742282,Zahra,SAADI,F,1934-09-28,3,B+,Retraité,0,[]
461954120464280836,Omar,BOUZIANE,M,1954-12-04,46,AB-,Enseignant,0,[]
461952022013379348,Ouardia,BOUZIANE,F,1952-02-20,46,A+,Retraité,0,[]
531945042895037239,Amirouche,CHERIF,M,1945-04-28,53,AB-,Retraité,0,[]
531947021033461728,Ilham,CHERIF,F,1947-02-10,53,AB+,Retraité,0,[]
151949092524774254,Faycel,BELOUATI,M,1949-09-25,15,O-,Retraité,0,[]
151948061653722995,Dallal,BELOUATI,F,1948-06-16,15,A-,Retraité,0,[]
201930091751572358,Mehdi,LAICHI,M,1930-09-17,20,A+,Retraité,0,[]
201932060372647072,Kenza,LAICHI,F,1932-06-03,20,AB+,Enseignante,0,[]
101952031617808397,Mahmoud,KHALDI,M,1952-03-16,10,AB-,Retraité,0,[]
101954020522687718,Ouahiba,KHALDI,F,1954-02-05,10,O-,Retraité,0,[]
521940061405490813,Teyeb,BERKANI,M,1940-06-14,52,O-,Retraité,0,[]
521941042412402289,Sarah,BERKANI,F,1941-04-24,52,B-,Retraité,0,[]
581939050955369427,Farouk,ABDELLI,M,1939-05-09,58,A-,Retraité,0,[]
581940042421844058,Katia,ABDELLI,F,1940-04-24,58,AB+,Retraité,0,[]
211960052029608865,Bachir,MANSOURI,M,1960-05-20,21,A-,Chômeur,0,[]
211961071091230637,Chahinez,MANSOURI,F,1961-07-10,21,B-,Fonctionnaire,0,[]
441950111332972280,Marwan,TOUMI,M,1950-11-13,44,A-,Retraité,0,[]
441950061054457077,Rachelle,TOUMI,F,1950-06-10,44,O+,Retraité,0,[]
421959040876041584,Reda,NESSAH,M,1959-04-08,42,O-,Maçon,0,[]
421957051243529693,Fadila,NESSAH,F,1957-05-12,42,B+,Chômeur,0,[]
031940071887870473,Lotfi,BOURAS,M,1940-07-18,3,AB-,Retraité,0,[]
031940080728715346,Nourhan,BOURAS,F,1940-08-07,3,B-,Retraité,0,[]
451950051392377764,Ahmed,BOULEMALI,M,1950-05-13,45,A-,Retraité,0,[]
451949012291815185,Leticia,BOULEMALI,F,1949-01-22,45,B+,Retraité,0,[]
361950120652430390,Islem,BELHADJ,M,1950-12-06,36,AB-,Retraité,0,[]
361950111312253747,Nawal,BELHADJ,F,1950-11-13,36,B+,Retraité,0,[]
471940022748494973,Adel,TOUATI,M,1940-02-27,47,AB+,Retraité,0,[]
471939090585835601,Amel,TOUATI,F,1939-09-05,47,B-,Retraité,0,[]
101950092717765053,Mourad,ABBAS,M,1950-09-27,10,A+,Commerçant,0,[]
101949081154734149,Zineb,ABBAS,F,1949-08-11,10,O+,Retraité,0,[]
461937100991134180,Jawad,LARBI,M,1937-10-09,46,A+,Retraité,0,[]
461939060978124862,Amina,LARBI,F,1939-06-09,46,O-,Retraité,0,[]
441947082639586435,Islem,MADJER,M,1947-08-26,44,A-,Commerçant,0,[]
441945112188687512,Sara,MADJER,F,1945-11-21,44,B-,Retraité,0,[]
291954030968798790,Kader,SAIDI,M,1954-03-09,29,O-,Retraité,0,[]
291954071775972172,Leïla,SAIDI,F,1954-07-17,29,O-,Retraité,0,[]
451933121342505019,Mourad,HAMKACEM,M,1933-12-13,45,O-,Retraité,0,[]
451933100213799848,Lynda,HAMKACEM,F,1933-10-02,45,O+,Retraité,0,[]
231936091346149417,Fethi,ZEKRI,M,1936-09-13,23,A+,Retraité,0,[]
231935070173837399,Mounira,ZEKRI,F,1935-07-01,23,A-,Retraité,0,[]
251935050279651067,Mokhtar,YAHIAOUI,M,1935-05-02,25,O-,Retraité,0,[]
251934080932298087,Sabiha,YAHIAOUI,F,1934-08-09,25,B-,Retraité,0,[]
181947042017931513,Moussa,ZEMMOURI,M,1947-04-20,18,O+,Retraité,0,[]
181948011046812238,Karima,ZEMMOURI,F,1948-01-10,18,A-,Retraité,0,[]
581957072177959729,Zoubir,BANALI,M,1957-07-21,58,B-,Comptable,0,[]
581957051976578404,Assia,BANALI,F,1957-05-19,58,A+,Chômeur,0,[]
511955012825059516,Jawad,HOUCH,M,1955-01-28,51,O+,Ouvrier du bâtiment,0,[]
511954101177695537,Maissa,HOUCH,F,1954-10-11,51,A+,Retraité,0,[]
231948111180305713,Walid,AMARA,M,1948-11-11,23,B+,Retraité,0,[]
231950020598787306,Soumia,AMARA,F,1950-02-05,23,B+,Retraité,0,[]
011935060978365035,Farouk,BELHADI,M,1935-06-09,1,O+,Retraité,0,[]
011937072463443657,Zohra,BELHADI,F,1937-07-24,1,A+,Enseignante,0,[]
361952102642818963,Zoubir,BELDI,M,1952-10-26,36,A+,Retraité,0,[]
361951020822139353,Imane,BELDI,F,1951-02-08,36,AB+,Enseignante,0,[]
341930031060337177,Lounes,CHERIF,M,1930-03-10,34,B-,Retraité,0,[]
341930022166797798,Yasmina,CHERIF,F,1930-02-21,34,A+,Enseignante,0,[]
201949122582775224,Malik,TOUMI,M,1949-12-25,20,AB+,Retraité,0,[]
201950090305341255,Rania,TOUMI,F,1950-09-03,20,O+,Retraité,0,[]
271959091870626319,Amrane,HADDAD,M,1959-09-18,27,O+,Chômeur,0,[]
271960081906850861,Lidia,HADDAD,F,1960-08-19,27,AB-,Fonctionnaire,0,[]
281960081899300928,Farid,BOULEMALI,M,1960-08-18,28,A-,Mécanicien,0,[]
281958090690718147,Majda,BOULEMALI,F,1958-09-06,28,B-,Chômeur,0,[]
091954072409111770,Salah,YAHIAOUI,M,1954-07-24,9,O-,Enseignant,0,[]
091956020332104831,Celine,YAHIAOUI,F,1956-02-03,9,A-,Chômeur,0,[]
321958011929334781,Rabah,SAMER,M,1958-01-19,32,AB-,Comptable,0,[]
321958040274252668,Dina,SAMER,F,1958-04-02,32,O+,Comptable,0,[]
221942041309755136,Riyad,TALEB,M,1942-04-13,22,O-,Enseignant,0,[]
221944101587136272,Dalila,TALEB,F,1944-10-15,22,A+,Retraité,0,[]
401955100700218143,Soufiane,BRAHIMI,M,1955-10-07,40,A+,Mécanicien,0,[]
401956122410753382,Yasmine,BRAHIMI,F,1956-12-24,40,AB-,Femme au foyer,0,[]
331949102179031944,Wahid,MOUHOUS,M,1949-10-21,33,A-,Retraité,0,[]
331950080855873552,Khadija,MOUHOUS,F,1950-08-08,33,O-,Retraité,0,[]
291930080598612612,Amirouche,SMAILI,M,1930-08-05,29,AB+,Retraité,0,[]
291928082608153645,Sarah,SMAILI,F,1928-08-26,29,B+,Retraité,0,[]
011949020363244160,Taki,KADRI,M,1949-02-03,1,AB-,Retraité,0,[]
011950062327154217,Naima,KADRI,F,1950-06-23,1,A+,Retraité,0,[]
091942091101424859,Zakaria,SADAOUI,M,1942-09-11,9,B-,Retraité,0,[]
091944041563726629,Dina,SADAOUI,F,1944-04-15,9,AB+,Retraité,0,[]
291956010692070693,Aziz,FALEK,M,1956-01-06,29,AB-,Commerçant,0,[]
291958081478291439,Farah,FALEK,F,1958-08-14,29,AB-,Chômeur,0,[]
371931111342679508,Islam,KHADIR,M,1931-11-13,37,AB-,Retraité,0,[]
371932012277477616,Wafa,KHADIR,F,1932-01-22,37,O-,Femme au foyer,0,[]
271951092251399385,Hassan,HADDAD,M,1951-09-22,27,A-,Retraité,0,[]
271953081711921858,Farah,HADDAD,F,1953-08-17,27,O+,Retraité,0,[]
381944110568379962,Yanis,SMAILI,M,1944-11-05,38,B+,Retraité,0,[]
381945042137366873,Wafia,SMAILI,F,1945-04-21,38,B+,Retraité,0,[]
361960022483611504,Walid,ABBAS,M,1960-02-24,36,A-,Commerçant,0,[]
361960061103638979,Dina,ABBAS,F,1960-06-11,36,A-,Coiffeuse,0,[]
191938021709268214,Adnan,ZEMMOURI,M,1938-02-17,19,AB+,Retraité,0,[]
191936072355812320,Ouahiba,ZEMMOURI,F,1936-07-23,19,O-,Retraité,0,[]
391943082456057925,Racim,ABED,M,1943-08-24,39,AB+,Retraité,0,[]
391942071995851673,Saadia,ABED,F,1942-07-19,39,B-,Retraité,0,[]
151959122858985846,Firas,NESSAH,M,1959-12-28,15,B+,Chauffeur routier,0,[]
151958081765941811,Sabrine,NESSAH,F,1958-08-17,15,AB+,Couturière,0,[]
311938081930784966,Abdelaziz,LAICHI,M,1938-08-19,31,B+,Retraité,0,[]
311937091408635892,Selma,LAICHI,F,1937-09-14,31,O+,Retraité,0,[]
021932111559458031,Salim,BOULEMALI,M,1932-11-15,2,AB-,Retraité,0,[]
021933100352900947,Ania,BOULEMALI,F,1933-10-03,2,A+,Retraité,0,[]
371938052488431929,Hocine,FALEK,M,1938-05-24,37,A-,Retraité,0,[]
371939122563309539,Khadija,FALEK,F,1939-12-25,37,B+,Retraité,0,[]
191953072482741552,Ammar,MAROUNI,M,1953-07-24,19,AB+,Retraité,0,[]
191955022245336250,Imane,MAROUNI,F,1955-02-22,19,AB-,Fonctionnaire,0,[]
491945060321171821,Marouane,MANSOURI,M,1945-06-03,49,B+,Retraité,0,[]
491947110595950002,Farida,MANSOURI,F,1947-11-05,49,AB-,Retraité,0,[]
571930090576075902,Idir,AIT BACHIR,M,1930-09-05,57,B-,Retraité,0,[]
571929051487394561,Mouna,AIT BACHIR,F,1929-05-14,57,B-,Femme au foyer,0,[]
201956120308382749,Ali,ABOUNE,M,1956-12-03,20,O-,Fonctionnaire,0,[]
201956030606295219,Salima,ABOUNE,F,1956-03-06,20,O+,Ouvrier du bâtiment,0,[]
321954091580067542,Tarek,HADJI,M,1954-09-15,32,A-,Retraité,0,[]
321956032410412361,Mbarka,HADJI,F,1956-03-24,32,AB+,Vendeuse,0,[]
301955061739622610,Hocine,ZITOUNI,M,1955-06-17,30,O+,Agriculteur,0,[]
301953052257464056,Sabrina,ZITOUNI,F,1953-05-22,30,O-,Retraité,0,[]
071947030758527021,Moussa,BOUZIANE,M,1947-03-07,7,B-,Commerçant,0,[]
071949060376072537,Nassima,BOUZIANE,F,1949-06-03,7,A+,Retraité,0,[]
241936112014991539,Iskander,ABOUN,M,1936-11-20,24,AB-,Retraité,0,[]
241935040215796920,Dalila,ABOUN,F,1935-04-02,24,AB+,Retraité,0,[]
211959080765380635,Riad,SADAOUI,M,1959-08-07,21,AB-,Artisan,0,[]
211957062060899833,Sabrina,SADAOUI,F,1957-06-20,21,AB-,Chômeur,0,[]
471948100983811847,Aymen,BELDI,M,1948-10-09,47,B-,Retraité,0,[]
471949070996173258,Anissa,BELDI,F,1949-07-09,47,B+,Femme au foyer,0,[]
051959021242437435,Farid,LAIB,M,1959-02-12,5,AB-,Maçon,0,[]
051960120607796616,Chafia,LAIB,F,1960-12-06,5,A+,Ouvrier du bâtiment,0,[]
351950092195277376,Racim,BELHADJ,M,1950-09-21,35,AB+,Enseignant,0,[]
351952061249521700,Fahima,BELHADJ,F,1952-06-12,35,B-,Enseignante,0,[]
011950121881178519,Mohamed,MESSAOUDI,M,1950-12-18,1,B-,Retraité,0,[]
011949121791669557,Chahrazed,MESSAOUDI,F,1949-12-17,1,AB+,Enseignante,0,[]
421935122535127920,Akli,MOKHTARI,M,1935-12-25,42,AB+,Retraité,0,[]
421933081735571890,Celine,MOKHTARI,F,1933-08-17,42,B+,Retraité,0,[]
431948010486448983,Rachid,HOUARI,M,1948-01-04,43,A-,Retraité,0,[]
431948031561188582,Nassima,HOUARI,F,1948-03-15,43,A+,Retraité,0,[]
061936092030466022,Ramy,YAHIAOUI,M,1936-09-20,6,A+,Retraité,0,[]
061935121356273584,Farah,YAHIAOUI,F,1935-12-13,6,O+,Retraité,0,[]
061951062306212947,Youssef,LARBI,M,1951-06-23,6,B+,Retraité,0,[]
061953091489537245,Saloua,LARBI,F,1953-09-14,6,AB-,Enseignante,0,[]
131943112869110947,Islem,HADDAD,M,1943-11-28,13,B-,Retraité,0,[]
131941052057725148,Mouna,HADDAD,F,1941-05-20,13,A-,Retraité,0,[]
451958030583275366,Fouad,LARBI,M,1958-03-05,45,A+,Artisan,0,[]
451956040654296841,Yasmine,LARBI,F,1956-04-06,45,B-,Fonctionnaire,0,[]
401959021629820205,Brahim,MESSAOUDI,M,1959-02-16,40,B-,Agriculteur,0,[]
401960112001469309,Katia,MESSAOUDI,F,1960-11-20,40,B+,Artisane,0,[]
151952062081065034,Hassan,MANSOURI,M,1952-06-20,15,AB-,Commerçant,0,[]
151950110664289490,Kawthar,MANSOURI,F,1950-11-06,15,A+,Enseignante,0,[]
441942062841286172,Abdelaziz,BENSAID,M,1942-06-28,44,B+,Retraité,0,[]
441944111772853552,Nadjma,BENSAID,F,1944-11-17,44,AB-,Femme au foyer,0,[]
581944030375692000,Kader,BERKANI,M,1944-03-03,58,AB-,Enseignant,0,[]
581945081762987370,Farida,BERKANI,F,1945-08-17,58,O-,Retraité,0,[]
051942021016347040,Fouad,MESSAOUDI,M,1942-02-10,5,B+,Retraité,0,[]
051940121894077702,Rim,MESSAOUDI,F,1940-12-18,5,O-,Retraité,0,[]
421960051105038787,Rachid,KHADIR,M,1960-05-11,42,O+,Comptable,0,[]
421958121791047456,Zouina,KHADIR,F,1958-12-17,42,A-,Artisane,0,[]
581946030515575132,Aziz,AMARA,M,1946-03-05,58,O+,Commerçant,0,[]
581944070551364448,Ines,AMARA,F,1944-07-05,58,A-,Retraité,0,[]
321946092571898649,Mounir,MANSOURI,M,1946-09-25,32,A+,Retraité,0,[]
321946110239962484,Fahima,MANSOURI,F,1946-11-02,32,B+,Retraité,0,[]
321942022415119042,Ismail,REHMOUN,M,1942-02-24,32,O-,Retraité,0,[]
321944120471525957,Sabrina,REHMOUN,F,1944-12-04,32,A-,Retraité,0,[]
061933081576573832,Safouane,HAMIDI,M,1933-08-15,6,A-,Retraité,0,[]
061932062840795357,Celine,HAMIDI,F,1932-06-28,6,O+,Retraité,0,[]
131946050152547047,Ahcen,KHADIR,M,1946-05-01,13,AB-,Retraité,0,[]
131944072458176226,Maram,KHADIR,F,1944-07-24,13,AB-,Enseignante,0,[]
251959010965322405,Malek,BOURAS,M,1959-01-09,25,A-,Agriculteur,0,[]
251959030893569444,Yasmine,BOURAS,F,1959-03-08,25,O+,Commerçant,0,[]
551949012730065431,Yacine,BELHADJ,M,1949-01-27,55,AB-,Retraité,0,[]
551948080528364407,Mouna,BELHADJ,F,1948-08-05,55,A+,Retraité,0,[]
191934072287695252,Rafik,ZEMMOURI,M,1934-07-22,19,O+,Agriculteur,0,[]
191933032706768845,Sabrine,ZEMMOURI,F,1933-03-27,19,A+,Retraité,0,[]
431938020820859988,Ilyès,HOUCH,M,1938-02-08,43,B-,Retraité,0,[]
431940021593129210,Zineb,HOUCH,F,1940-02-15,43,B+,Retraité,0,[]
581956022595452213,Reda,BENSAID,M,1956-02-25,58,AB-,Maçon,0,[]
581958072052871246,Safa,BENSAID,F,1958-07-20,58,B+,Vendeuse,0,[]
201931101937376530,Faycel,ABED,M,1931-10-19,20,AB-,Retraité,0,[]
201932092809329215,Yamina,ABED,F,1932-09-28,20,A+,Retraité,0,[]
291959021518456193,Younes,HADJI,M,1959-02-15,29,O-,Chômeur,0,[]
291960060871055347,Celine,HADJI,F,1960-06-08,29,A+,Comptable,0,[]
571955011477342911,Yacoub,SALHI,M,1955-01-14,57,AB-,Retraité,0,[]
571956101733431826,Fatiha,SALHI,F,1956-10-17,57,AB-,Fonctionnaire,0,[]
391932071640533237,Sofiane,BOURAS,M,1932-07-16,39,O-,Retraité,0,[]
391932122712266556,Saadia,BOURAS,F,1932-12-27,39,O+,Retraité,0,[]
251944030259954630,Ahcen,YAHIAOUI,M,1944-03-02,25,B-,Retraité,0,[]
251945112425688380,Leticia,YAHIAOUI,F,1945-11-24,25,B-,Retraité,0,[]
301957120171055066,Marouane,BANALI,M,1957-12-01,30,O+,Chômeur,0,[]
301958041718603509,Mounira,BANALI,F,1958-04-17,30,A+,Femme au foyer,0,[]
271956092369107858,Aymen,TALEB,M,1956-09-23,27,O-,Commerçant,0,[]
271958021310070000,Nadia,TALEB,F,1958-02-13,27,O-,Fonctionnaire,0,[]
391954120757737272,Azzedine,TOUATI,M,1954-12-07,39,AB+,Retraité,0,[]
391954081692794341,Samira,TOUATI,F,1954-08-16,39,AB-,Retraité,0,[]
051948031139657702,Safouane,BELOUATI,M,1948-03-11,5,O+,Retraité,0,[]
051946081301182190,Rabia,BELOUATI,F,1946-08-13,5,AB+,Retraité,0,[]
471932070632443300,Mustapha,HOUCH,M,1932-07-06,47,AB-,Retraité,0,[]
471931071085967792,Samira,HOUCH,F,1931-07-10,47,A+,Retraité,0,[]
181959121926055990,Issam,BRAHIMI,M,1959-12-19,18,B-,Commerçant,0,[]
181959100918360181,Safia,BRAHIMI,F,1959-10-09,18,A+,Fonctionnaire,0,[]
221949042814333736,Ismail,MADJER,M,1949-04-28,22,B-,Retraité,0,[]
221949031799463367,Ouiza,MADJER,F,1949-03-17,22,A+,Retraité,0,[]
181932061401676599,Islam,BANALI,M,1932-06-14,18,O+,Retraité,0,[]
181933101305441448,Mounira,BANALI,F,1933-10-13,18,AB+,Retraité,0,[]
291953011238717851,Hocine,REHMOUN,M,1953-01-12,29,AB+,Retraité,0,[]
291954121170962488,Lamia,REHMOUN,F,1954-12-11,29,A+,Retraité,0,[]
291960101185885755,Brahim,RAHMANI,M,1960-10-11,29,AB+,Maçon,0,[]
291960031193039806,Majda,RAHMANI,F,1960-03-11,29,B+,Vendeuse,0,[]
301947042559314961,Malik,BOUZIANE,M,1947-04-25,30,O-,Retraité,0,[]
301949050426567225,Assia,BOUZIANE,F,1949-05-04,30,B-,Retraité,0,[]
311954102028811825,Aymen,MADJER,M,1954-10-20,31,AB-,Retraité,0,[]
311956031923289260,Ania,MADJER,F,1956-03-19,31,AB-,Couturière,0,[]
051946080977532765,Yacoub,RAHMANI,M,1946-08-09,5,AB+,Retraité,0,[]
051944091331654603,Rim,RAHMANI,F,1944-09-13,5,A-,Retraité,0,[]
161954071305355607,Rachid,SAMER,M,1954-07-13,16,A-,Retraité,0,[]
161952011285598976,Nouria,SAMER,F,1952-01-12,16,A-,Retraité,0,[]
021953012709404438,Abdelkader,HOUARI,M,1953-01-27,2,O-,Retraité,0,[]
021952032459239642,Ghenima,HOUARI,F,1952-03-24,2,AB+,Retraité,0,[]
141950092336825130,Hanin,AMARA,M,1950-09-23,14,B-,Retraité,0,[]
141949092334553695,Rania,AMARA,F,1949-09-23,14,B-,Retraité,0,[]
471934021040777079,Adel,HOUCH,M,1934-02-10,47,B+,Retraité,0,[]
471934121051139532,Lina,HOUCH,F,1934-12-10,47,O+,Retraité,0,[]
141954071071111662,Safouane,SADAOUI,M,1954-07-10,14,A-,Retraité,0,[]
141955122702325292,Nouria,SADAOUI,F,1955-12-27,14,AB-,Couturière,0,[]
271950011361971717,Nabil,BOURAS,M,1950-01-13,27,AB-,Retraité,0,[]
271952062571102510,Malika,BOURAS,F,1952-06-25,27,B-,Retraité,0,[]
411942052199116358,Safouane,MIHOUB,M,1942-05-21,41,B+,Retraité,0,[]
411943031974175015,Nawal,MIHOUB,F,1943-03-19,41,A-,Retraité,0,[]
021952050791847556,Mounir,TALEB,M,1952-05-07,2,AB-,Retraité,0,[]
021952080639661678,Ouardia,TALEB,F,1952-08-06,2,A-,Retraité,0,[]
521958051333131603,Rabah,SADAOUI,M,1958-05-13,52,AB-,Fonctionnaire,0,[]
521957022278342339,Kenza,SADAOUI,F,1957-02-22,52,AB+,Vendeuse,0,[]
441933012362097440,Sabri,BENYAHIA,M,1933-01-23,44,A+,Retraité,0,[]
441935012297122713,Dina,BENYAHIA,F,1935-01-22,44,O-,Retraité,0,[]
451941091433176826,Brahim,TOUATI,M,1941-09-14,45,AB+,Retraité,0,[]
451941110675401700,Dalila,TOUATI,F,1941-11-06,45,AB+,Retraité,0,[]
131941080552004016,Hacen,MANSOURI,M,1941-08-05,13,AB-,Commerçant,0,[]
131939101017480510,Salima,MANSOURI,F,1939-10-10,13,B-,Retraité,0,[]
101958082768192813,Farid,BENYAHIA,M,1958-08-27,10,B+,Commerçant,0,[]
101958122472417967,Hind,BENYAHIA,F,1958-12-24,10,A+,Couturière,0,[]
231936011656958750,Taki,TOUMI,M,1936-01-16,23,AB-,Retraité,0,[]
231935072841506504,Sara,TOUMI,F,1935-07-28,23,B+,Retraité,0,[]
071954041508360235,Nadir,BANALI,M,1954-04-15,7,B+,Retraité,0,[]
071952022838156726,Imane,BANALI,F,1952-02-28,7,A+,Enseignante,0,[]
271936052372558037,Aziz,NESSAH,M,1936-05-23,27,A-,Retraité,0,[]
271938032577026615,Louiza,NESSAH,F,1938-03-25,27,B+,Retraité,0,[]
331954092281883155,Abdelillah,YAHIAOUI,M,1954-09-22,33,AB+,Commerçant,0,[]
331954070259538815,Celine,YAHIAOUI,F,1954-07-02,33,O-,Retraité,0,[]
241951011358436309,Younes,ZEKRI,M,1951-01-13,24,AB+,Retraité,0,[]
241950112463557778,Farida,ZEKRI,F,1950-11-24,24,O+,Retraité,0,[]
531936120824221365,Anis,AIT BACHIR,M,1936-12-08,53,O-,Retraité,0,[]
531936070470415943,Rabia,AIT BACHIR,F,1936-07-04,53,B+,Retraité,0,[]
081938111091078963,Sabri,MADJER,M,1938-11-10,8,O+,Retraité,0,[]
081939102051852469,Amira,MADJER,F,1939-10-20,8,O-,Retraité,0,[]
301937120639882561,Aziz,MOUHOUS,M,1937-12-06,30,B+,Retraité,0,[]
301937070305491127,Amina,MOUHOUS,F,1937-07-03,30,O-,Retraité,0,[]
401930070516271271,Wassim,GHARSI,M,1930-07-05,40,O+,Retraité,0,[]
401928052037945062,Nour,GHARSI,F,1928-05-20,40,B-,Retraité,0,[]
251932100239185722,Tarek,MOKHTARI,M,1932-10-02,25,B-,Retraité,0,[]
251934081291300357,Zouina,MOKHTARI,F,1934-08-12,25,A-,Enseignante,0,[]
161953040721339840,Sabri,KADRI,M,1953-04-07,16,A-,Retraité,0,[]
161952111869864404,Lina,KADRI,F,1952-11-18,16,AB+,Retraité,0,[]
581942120740397618,Hamid,DAHMANI,M,1942-12-07,58,B+,Commerçant,0,[]
581941082218129067,Rachelle,DAHMANI,F,1941-08-22,58,O+,Femme au foyer,0,[]
061954011637298020,Amrane,SLIMANI,M,1954-01-16,6,A+,Commerçant,0,[]
061952081795408466,Amina,SLIMANI,F,1952-08-17,6,AB-,Retraité,0,[]
